
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=1,2,3,4,5
L2_REG_LAMBDA=0.0
LABELS_DATA_FILE=./nlp_features/econ_health_onehotlabels.npy
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
SENTENCES_DATA_FILE=./nlp_features/econ_health_sentences_list_of_strings.npy
UNROLLED_LSTM=False

Loading data...
Vocabulary Size: 12499
Train/Dev split: 2610/289
Writing to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488526215

2017-03-02T23:32:23.042916: step 1, loss 3.72976, acc 0.34375
2017-03-02T23:32:48.146033: step 112, loss 1.42044, acc 0.5625
2017-03-02T23:32:48.250189: step 113, loss 1.24409, acc 0.640625
2017-03-02T23:32:48.356060: step 114, loss 1.77337, acc 0.5
2017-03-02T23:32:48.462970: step 115, loss 1.92597, acc 0.46875
2017-03-02T23:32:48.600594: step 116, loss 1.14824, acc 0.53125
2017-03-02T23:32:48.703158: step 117, loss 1.81598, acc 0.484375
2017-03-02T23:32:48.803340: step 118, loss 1.61482, acc 0.515625
2017-03-02T23:32:48.908605: step 119, loss 1.32124, acc 0.640625
2017-03-02T23:32:49.012022: step 120, loss 1.73256, acc 0.546875
2017-03-02T23:32:49.122957: step 121, loss 1.43401, acc 0.59375
2017-03-02T23:32:49.227373: step 122, loss 1.61327, acc 0.53125
2017-03-02T23:32:49.324794: step 123, loss 1.41007, acc 0.58
2017-03-02T23:32:49.434542: step 124, loss 1.48242, acc 0.546875
2017-03-02T23:32:49.540901: step 125, loss 1.30608, acc 0.578125
2017-03-02T23:32:49.626392: step 126, loss 1.31656, acc 0.625
2017-03-02T23:32:49.728236: step 127, loss 1.18418, acc 0.59375
2017-03-02T23:32:49.832336: step 128, loss 1.62102, acc 0.578125
2017-03-02T23:32:49.942810: step 129, loss 1.43975, acc 0.625
2017-03-02T23:32:50.044951: step 130, loss 1.54496, acc 0.59375
2017-03-02T23:32:50.151406: step 131, loss 1.90061, acc 0.59375
2017-03-02T23:32:50.256420: step 132, loss 0.946163, acc 0.625
2017-03-02T23:32:50.354415: step 133, loss 1.22582, acc 0.5625
2017-03-02T23:32:50.459113: step 134, loss 1.42666, acc 0.625
2017-03-02T23:32:50.562179: step 135, loss 1.3053, acc 0.5625
2017-03-02T23:32:50.662530: step 136, loss 1.72433, acc 0.5625
2017-03-02T23:32:50.778014: step 137, loss 1.33834, acc 0.609375
2017-03-02T23:32:50.880983: step 138, loss 1.35934, acc 0.609375
2017-03-02T23:32:50.983873: step 139, loss 0.939486, acc 0.59375
2017-03-02T23:32:51.082372: step 140, loss 1.64493, acc 0.5625
2017-03-02T23:32:51.181471: step 141, loss 1.354, acc 0.515625
2017-03-02T23:32:51.286496: step 142, loss 1.44251, acc 0.609375
2017-03-02T23:32:51.391913: step 143, loss 1.10114, acc 0.578125
2017-03-02T23:32:51.500466: step 144, loss 1.01232, acc 0.578125
2017-03-02T23:32:51.611308: step 145, loss 1.03326, acc 0.5625
2017-03-02T23:32:51.722291: step 146, loss 1.15542, acc 0.671875
2017-03-02T23:32:51.826218: step 147, loss 1.37373, acc 0.515625
2017-03-02T23:32:51.918716: step 148, loss 1.33842, acc 0.640625
2017-03-02T23:32:52.026603: step 149, loss 1.16869, acc 0.5625
2017-03-02T23:32:52.153053: step 150, loss 1.38158, acc 0.546875
2017-03-02T23:32:52.262603: step 151, loss 1.19615, acc 0.59375
2017-03-02T23:32:52.367654: step 152, loss 1.33229, acc 0.640625
2017-03-02T23:32:52.474351: step 153, loss 1.49731, acc 0.59375
2017-03-02T23:32:52.580593: step 154, loss 1.24028, acc 0.578125
2017-03-02T23:32:52.671982: step 155, loss 1.17371, acc 0.671875
2017-03-02T23:32:52.775456: step 156, loss 1.49263, acc 0.5
2017-03-02T23:32:52.882540: step 157, loss 1.05677, acc 0.671875
2017-03-02T23:32:52.983705: step 158, loss 1.81321, acc 0.5
2017-03-02T23:32:53.090686: step 159, loss 1.19363, acc 0.609375
2017-03-02T23:32:53.193676: step 160, loss 1.41206, acc 0.546875
2017-03-02T23:32:53.304072: step 161, loss 1.54747, acc 0.578125
2017-03-02T23:32:53.388333: step 162, loss 1.74214, acc 0.53125
2017-03-02T23:32:53.486416: step 163, loss 1.44342, acc 0.46875
2017-03-02T23:32:53.582500: step 164, loss 1.44282, acc 0.46
2017-03-02T23:32:53.686551: step 165, loss 0.857299, acc 0.75
2017-03-02T23:32:53.789898: step 166, loss 1.51954, acc 0.546875
2017-03-02T23:32:53.896004: step 167, loss 0.934073, acc 0.59375
2017-03-02T23:32:54.004039: step 168, loss 1.27917, acc 0.59375
2017-03-02T23:32:54.106936: step 169, loss 1.1253, acc 0.6875
2017-03-02T23:32:54.192346: step 170, loss 1.34328, acc 0.5
2017-03-02T23:32:54.296593: step 171, loss 1.13814, acc 0.625
2017-03-02T23:32:54.404928: step 172, loss 0.981023, acc 0.640625
2017-03-02T23:32:54.514027: step 173, loss 1.09244, acc 0.609375
2017-03-02T23:32:54.642018: step 174, loss 1.17873, acc 0.59375
2017-03-02T23:32:54.744867: step 175, loss 1.36388, acc 0.609375
2017-03-02T23:32:54.855792: step 176, loss 0.986367, acc 0.703125
2017-03-02T23:32:54.953325: step 177, loss 1.32376, acc 0.59375
2017-03-02T23:32:55.055175: step 178, loss 1.42298, acc 0.625
2017-03-02T23:32:55.158517: step 179, loss 1.45817, acc 0.515625
2017-03-02T23:32:55.260611: step 180, loss 0.980142, acc 0.6875
2017-03-02T23:32:55.364592: step 181, loss 1.06748, acc 0.703125
2017-03-02T23:32:55.471921: step 182, loss 0.994854, acc 0.671875
2017-03-02T23:32:55.573212: step 183, loss 1.09058, acc 0.59375
2017-03-02T23:32:55.661683: step 184, loss 1.25258, acc 0.53125
2017-03-02T23:32:55.764425: step 185, loss 1.11257, acc 0.609375
2017-03-02T23:32:55.869459: step 186, loss 1.20592, acc 0.5625
2017-03-02T23:32:55.989720: step 187, loss 0.855484, acc 0.703125
2017-03-02T23:32:56.093576: step 188, loss 0.631368, acc 0.796875
2017-03-02T23:32:56.213853: step 189, loss 1.04354, acc 0.671875
2017-03-02T23:32:56.323477: step 190, loss 1.05075, acc 0.703125
2017-03-02T23:32:56.423853: step 191, loss 1.35475, acc 0.609375
2017-03-02T23:32:56.538064: step 192, loss 1.0186, acc 0.65625
2017-03-02T23:32:56.646654: step 193, loss 0.880541, acc 0.671875
2017-03-02T23:32:56.751108: step 194, loss 1.21323, acc 0.53125
2017-03-02T23:32:56.854554: step 195, loss 0.866494, acc 0.71875
2017-03-02T23:32:56.956558: step 196, loss 1.24466, acc 0.5625
2017-03-02T23:32:57.052296: step 197, loss 1.41701, acc 0.484375
2017-03-02T23:32:57.144942: step 198, loss 1.00137, acc 0.59375
2017-03-02T23:32:57.236636: step 199, loss 1.19046, acc 0.625
2017-03-02T23:32:57.340762: step 200, loss 0.954478, acc 0.71875

Evaluation:
2017-03-02T23:32:57.396391: step 200, loss 1.27584, acc 0.570934

Saved model checkpoint to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488526215/checkpoints/model-200

2017-03-02T23:32:57.841236: step 201, loss 0.990771, acc 0.6875
2017-03-02T23:32:57.937129: step 202, loss 1.14353, acc 0.609375
2017-03-02T23:32:58.040696: step 203, loss 1.46745, acc 0.484375
2017-03-02T23:32:58.138863: step 204, loss 0.794357, acc 0.71875
2017-03-02T23:32:58.232911: step 205, loss 1.58478, acc 0.58
2017-03-02T23:32:58.340789: step 206, loss 1.10376, acc 0.671875
2017-03-02T23:32:58.446261: step 207, loss 0.981648, acc 0.6875
2017-03-02T23:32:58.555859: step 208, loss 0.868561, acc 0.625
2017-03-02T23:32:58.647626: step 209, loss 0.859257, acc 0.65625
2017-03-02T23:32:58.746805: step 210, loss 1.06924, acc 0.640625
2017-03-02T23:32:58.857943: step 211, loss 1.11239, acc 0.625
2017-03-02T23:32:58.957844: step 212, loss 1.00227, acc 0.640625
2017-03-02T23:32:59.065111: step 213, loss 1.34482, acc 0.578125
2017-03-02T23:32:59.169112: step 214, loss 1.02393, acc 0.671875
2017-03-02T23:32:59.269224: step 215, loss 0.853248, acc 0.6875
2017-03-02T23:32:59.365895: step 216, loss 0.905938, acc 0.65625
2017-03-02T23:32:59.466598: step 217, loss 0.944217, acc 0.65625
2017-03-02T23:32:59.566274: step 218, loss 1.05292, acc 0.640625
2017-03-02T23:32:59.666383: step 219, loss 1.1386, acc 0.671875
2017-03-02T23:32:59.774350: step 220, loss 1.25377, acc 0.609375
2017-03-02T23:32:59.875855: step 221, loss 1.31742, acc 0.609375
2017-03-02T23:32:59.985115: step 222, loss 0.818397, acc 0.6875
2017-03-02T23:33:00.076624: step 223, loss 0.989589, acc 0.671875
2017-03-02T23:33:00.165915: step 224, loss 0.859789, acc 0.625
2017-03-02T23:33:00.264624: step 225, loss 1.04483, acc 0.625
2017-03-02T23:33:00.357391: step 226, loss 1.02104, acc 0.578125
2017-03-02T23:33:00.462284: step 227, loss 0.921511, acc 0.578125
2017-03-02T23:33:00.552922: step 228, loss 0.96668, acc 0.625
2017-03-02T23:33:00.658085: step 229, loss 1.05961, acc 0.640625
2017-03-02T23:33:00.760683: step 230, loss 0.841363, acc 0.6875
2017-03-02T23:33:00.850375: step 231, loss 0.769696, acc 0.625
2017-03-02T23:33:00.943605: step 232, loss 1.01593, acc 0.5625
2017-03-02T23:33:01.044336: step 233, loss 0.976823, acc 0.59375
2017-03-02T23:33:01.152467: step 234, loss 0.953125, acc 0.625
2017-03-02T23:33:01.262009: step 235, loss 1.10857, acc 0.546875
2017-03-02T23:33:01.365370: step 236, loss 1.21747, acc 0.609375
2017-03-02T23:33:01.470298: step 237, loss 1.22618, acc 0.640625
2017-03-02T23:33:01.572384: step 238, loss 1.28711, acc 0.6875
2017-03-02T23:33:01.663135: step 239, loss 0.889776, acc 0.6875
2017-03-02T23:33:01.769156: step 240, loss 1.37583, acc 0.5625
2017-03-02T23:33:01.868023: step 241, loss 1.27599, acc 0.640625
2017-03-02T23:33:01.976901: step 242, loss 0.868637, acc 0.734375
2017-03-02T23:33:02.085041: step 243, loss 1.11634, acc 0.59375
2017-03-02T23:33:02.188631: step 244, loss 1.25621, acc 0.59375
2017-03-02T23:33:02.290483: step 245, loss 1.1635, acc 0.671875
2017-03-02T23:33:02.372668: step 246, loss 0.815216, acc 0.74
2017-03-02T23:33:02.454734: step 247, loss 1.00001, acc 0.640625
2017-03-02T23:33:02.562904: step 248, loss 1.09202, acc 0.546875
2017-03-02T23:33:02.657771: step 249, loss 1.14564, acc 0.609375
2017-03-02T23:33:02.766389: step 250, loss 1.06298, acc 0.546875
2017-03-02T23:33:02.878166: step 251, loss 0.86545, acc 0.640625
2017-03-02T23:33:02.983784: step 252, loss 0.924965, acc 0.671875
2017-03-02T23:33:03.096296: step 253, loss 0.782831, acc 0.734375
2017-03-02T23:33:03.177685: step 254, loss 0.927441, acc 0.625
2017-03-02T23:33:03.275853: step 255, loss 1.19232, acc 0.703125
2017-03-02T23:33:03.395374: step 256, loss 0.731116, acc 0.6875
2017-03-02T23:33:03.502721: step 257, loss 0.781442, acc 0.6875
2017-03-02T23:33:03.612100: step 258, loss 0.840386, acc 0.703125
2017-03-02T23:33:03.715022: step 259, loss 0.615792, acc 0.75
2017-03-02T23:33:03.822606: step 260, loss 0.7426, acc 0.75
2017-03-02T23:33:03.911351: step 261, loss 0.605311, acc 0.765625
2017-03-02T23:33:04.014348: step 262, loss 1.028, acc 0.640625
2017-03-02T23:33:04.115717: step 263, loss 0.745106, acc 0.6875
2017-03-02T23:33:04.219197: step 264, loss 0.849395, acc 0.6875
2017-03-02T23:33:04.327304: step 265, loss 0.907259, acc 0.75
2017-03-02T23:33:04.436371: step 266, loss 0.577517, acc 0.8125
2017-03-02T23:33:04.554649: step 267, loss 1.39901, acc 0.59375
2017-03-02T23:33:04.648643: step 268, loss 1.13659, acc 0.625
2017-03-02T23:33:04.734615: step 269, loss 1.27739, acc 0.640625
2017-03-02T23:33:04.837849: step 270, loss 1.00196, acc 0.640625
2017-03-02T23:33:04.943416: step 271, loss 0.929717, acc 0.65625
2017-03-02T23:33:05.049079: step 272, loss 1.28432, acc 0.53125
2017-03-02T23:33:05.156746: step 273, loss 1.1094, acc 0.59375
2017-03-02T23:33:05.256688: step 274, loss 0.710643, acc 0.734375
2017-03-02T23:33:05.354741: step 275, loss 1.04962, acc 0.671875
2017-03-02T23:33:05.444539: step 276, loss 0.759783, acc 0.734375
2017-03-02T23:33:05.541649: step 277, loss 1.04376, acc 0.609375
2017-03-02T23:33:05.643188: step 278, loss 0.693848, acc 0.6875
2017-03-02T23:33:05.765592: step 279, loss 0.898723, acc 0.734375
2017-03-02T23:33:05.869187: step 280, loss 0.851388, acc 0.671875
2017-03-02T23:33:05.972230: step 281, loss 1.17334, acc 0.625
2017-03-02T23:33:06.078430: step 282, loss 1.07765, acc 0.609375
2017-03-02T23:33:06.173976: step 283, loss 0.886066, acc 0.671875
2017-03-02T23:33:06.269070: step 284, loss 0.731624, acc 0.703125
2017-03-02T23:33:06.373111: step 285, loss 1.06508, acc 0.59375
2017-03-02T23:33:06.478793: step 286, loss 1.03044, acc 0.59375
2017-03-02T23:33:06.590385: step 287, loss 0.701097, acc 0.74
2017-03-02T23:33:06.697033: step 288, loss 0.747326, acc 0.75
2017-03-02T23:33:06.798553: step 289, loss 0.754209, acc 0.65625
2017-03-02T23:33:06.901961: step 290, loss 0.578132, acc 0.75
2017-03-02T23:33:06.999601: step 291, loss 0.778325, acc 0.734375
2017-03-02T23:33:07.110882: step 292, loss 0.714703, acc 0.765625
2017-03-02T23:33:07.217427: step 293, loss 0.984744, acc 0.671875
2017-03-02T23:33:07.328226: step 294, loss 1.10456, acc 0.609375
2017-03-02T23:33:07.435991: step 295, loss 0.710644, acc 0.71875
2017-03-02T23:33:07.539342: step 296, loss 0.531289, acc 0.765625
2017-03-02T23:33:07.642309: step 297, loss 0.621277, acc 0.703125
2017-03-02T23:33:07.734008: step 298, loss 0.996491, acc 0.609375
2017-03-02T23:33:07.838416: step 299, loss 1.08483, acc 0.5625
2017-03-02T23:33:07.943897: step 300, loss 0.956319, acc 0.59375

Evaluation:
2017-03-02T23:33:08.009821: step 300, loss 1.0325, acc 0.564014

Saved model checkpoint to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488526215/checkpoints/model-300

2017-03-02T23:33:08.456798: step 301, loss 0.909074, acc 0.609375
2017-03-02T23:33:08.580183: step 302, loss 0.68497, acc 0.671875
2017-03-02T23:33:08.690016: step 303, loss 0.545845, acc 0.78125
2017-03-02T23:33:08.787199: step 304, loss 0.46801, acc 0.734375
2017-03-02T23:33:08.883308: step 305, loss 1.15936, acc 0.578125
2017-03-02T23:33:08.985976: step 306, loss 0.758166, acc 0.65625
2017-03-02T23:33:09.101493: step 307, loss 0.599545, acc 0.796875
2017-03-02T23:33:09.191620: step 308, loss 0.742729, acc 0.671875
2017-03-02T23:33:09.306906: step 309, loss 0.649148, acc 0.6875
2017-03-02T23:33:09.405169: step 310, loss 1.02024, acc 0.578125
2017-03-02T23:33:09.507607: step 311, loss 0.814222, acc 0.65625
2017-03-02T23:33:09.610798: step 312, loss 0.5733, acc 0.765625
2017-03-02T23:33:09.727714: step 313, loss 0.963627, acc 0.640625
2017-03-02T23:33:09.838131: step 314, loss 1.01686, acc 0.703125
2017-03-02T23:33:09.930934: step 315, loss 0.787374, acc 0.6875
2017-03-02T23:33:10.029096: step 316, loss 0.792398, acc 0.671875
2017-03-02T23:33:10.127959: step 317, loss 0.890591, acc 0.71875
2017-03-02T23:33:10.244603: step 318, loss 0.920675, acc 0.625
2017-03-02T23:33:10.349694: step 319, loss 1.03598, acc 0.59375
2017-03-02T23:33:10.454660: step 320, loss 0.810833, acc 0.609375
2017-03-02T23:33:10.549358: step 321, loss 0.619007, acc 0.6875
2017-03-02T23:33:10.639946: step 322, loss 0.735268, acc 0.671875
2017-03-02T23:33:10.726169: step 323, loss 0.858493, acc 0.671875
2017-03-02T23:33:10.833130: step 324, loss 0.768212, acc 0.625
2017-03-02T23:33:10.942818: step 325, loss 1.1599, acc 0.5625
2017-03-02T23:33:11.053559: step 326, loss 0.939074, acc 0.703125
2017-03-02T23:33:11.160006: step 327, loss 0.755688, acc 0.640625
2017-03-02T23:33:11.259569: step 328, loss 0.742388, acc 0.74
2017-03-02T23:33:11.364316: step 329, loss 0.844041, acc 0.671875
2017-03-02T23:33:11.457133: step 330, loss 0.616195, acc 0.765625
2017-03-02T23:33:11.562111: step 331, loss 0.932238, acc 0.6875
2017-03-02T23:33:11.666477: step 332, loss 0.59845, acc 0.78125
2017-03-02T23:33:11.762802: step 333, loss 0.827446, acc 0.65625
2017-03-02T23:33:11.870429: step 334, loss 0.840265, acc 0.75
2017-03-02T23:33:11.963393: step 335, loss 1.10149, acc 0.5625
2017-03-02T23:33:12.058855: step 336, loss 0.70497, acc 0.703125
2017-03-02T23:33:12.155341: step 337, loss 0.827749, acc 0.65625
2017-03-02T23:33:12.256370: step 338, loss 0.914623, acc 0.640625
2017-03-02T23:33:12.362956: step 339, loss 0.744734, acc 0.703125
2017-03-02T23:33:12.464610: step 340, loss 0.678455, acc 0.796875
2017-03-02T23:33:12.564208: step 341, loss 0.810757, acc 0.71875
2017-03-02T23:33:12.671000: step 342, loss 0.692677, acc 0.78125
2017-03-02T23:33:12.773985: step 343, loss 0.779942, acc 0.765625
2017-03-02T23:33:12.875706: step 344, loss 1.18892, acc 0.5625
2017-03-02T23:33:13.000022: step 345, loss 0.777893, acc 0.671875
2017-03-02T23:33:13.121609: step 346, loss 0.572202, acc 0.75
2017-03-02T23:33:13.218816: step 347, loss 0.593526, acc 0.796875
2017-03-02T23:33:13.326480: step 348, loss 0.877944, acc 0.640625
2017-03-02T23:33:13.436101: step 349, loss 0.742727, acc 0.625
2017-03-02T23:33:13.536620: step 350, loss 1.00846, acc 0.59375
2017-03-02T23:33:13.631193: step 351, loss 1.15161, acc 0.578125
2017-03-02T23:33:13.717635: step 352, loss 0.881188, acc 0.703125
2017-03-02T23:33:13.822166: step 353, loss 0.803203, acc 0.625
2017-03-02T23:33:13.933342: step 354, loss 0.764937, acc 0.703125
2017-03-02T23:33:14.037933: step 355, loss 0.662582, acc 0.71875
2017-03-02T23:33:14.153399: step 356, loss 0.71748, acc 0.6875
2017-03-02T23:33:14.257368: step 357, loss 1.2345, acc 0.625
2017-03-02T23:33:14.361629: step 358, loss 0.730149, acc 0.71875
2017-03-02T23:33:14.452086: step 359, loss 0.735178, acc 0.71875
