
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=1,2,3,4,5
L2_REG_LAMBDA=0.0
LABELS_DATA_FILE=./nlp_features/gop_onehotlabels.npy
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
SENTENCES_DATA_FILE=./nlp_features/gop_sentences_list_of_strings.npy
UNROLLED_LSTM=False

Loading data...
Vocabulary Size: 13924
Train/Dev split: 12484/1387
Writing to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488504630

2017-03-02T17:32:20.921138: step 1, loss 3.41974, acc 0.25
2017-03-02T17:32:24.234733: step 46, loss 1.47609, acc 0.5625
2017-03-02T17:32:24.310233: step 47, loss 1.90313, acc 0.53125
2017-03-02T17:32:24.371782: step 48, loss 1.86184, acc 0.578125
2017-03-02T17:32:24.445115: step 49, loss 1.76893, acc 0.59375
2017-03-02T17:32:24.509951: step 50, loss 1.57319, acc 0.59375
2017-03-02T17:32:24.584451: step 51, loss 2.03244, acc 0.5
2017-03-02T17:32:24.654677: step 52, loss 1.56807, acc 0.515625
2017-03-02T17:32:24.725999: step 53, loss 1.70867, acc 0.53125
2017-03-02T17:32:24.806260: step 54, loss 1.44416, acc 0.65625
2017-03-02T17:32:24.886036: step 55, loss 1.6609, acc 0.484375
2017-03-02T17:32:24.962115: step 56, loss 1.62625, acc 0.5625
2017-03-02T17:32:25.044325: step 57, loss 1.74426, acc 0.4375
2017-03-02T17:32:25.119763: step 58, loss 1.31834, acc 0.625
2017-03-02T17:32:25.186332: step 59, loss 1.36819, acc 0.5
2017-03-02T17:32:25.254536: step 60, loss 1.68829, acc 0.5
2017-03-02T17:32:25.324639: step 61, loss 2.14812, acc 0.484375
2017-03-02T17:32:25.394873: step 62, loss 1.57971, acc 0.5625
2017-03-02T17:32:25.466974: step 63, loss 1.81241, acc 0.453125
2017-03-02T17:32:25.538712: step 64, loss 1.45209, acc 0.578125
2017-03-02T17:32:25.611747: step 65, loss 1.59914, acc 0.46875
2017-03-02T17:32:25.687240: step 66, loss 1.85631, acc 0.546875
2017-03-02T17:32:25.766232: step 67, loss 1.68075, acc 0.421875
2017-03-02T17:32:25.847118: step 68, loss 1.35774, acc 0.515625
2017-03-02T17:32:25.913970: step 69, loss 1.60789, acc 0.5625
2017-03-02T17:32:25.981749: step 70, loss 1.35513, acc 0.59375
2017-03-02T17:32:26.052906: step 71, loss 1.13653, acc 0.640625
2017-03-02T17:32:26.125873: step 72, loss 1.63562, acc 0.515625
2017-03-02T17:32:26.200787: step 73, loss 1.45279, acc 0.671875
2017-03-02T17:32:26.279527: step 74, loss 1.9558, acc 0.546875
2017-03-02T17:32:26.349480: step 75, loss 1.74098, acc 0.578125
2017-03-02T17:32:26.417311: step 76, loss 1.39952, acc 0.578125
2017-03-02T17:32:26.498508: step 77, loss 1.79924, acc 0.5625
2017-03-02T17:32:26.579649: step 78, loss 1.46802, acc 0.578125
2017-03-02T17:32:26.650132: step 79, loss 1.56875, acc 0.515625
2017-03-02T17:32:26.719703: step 80, loss 1.60988, acc 0.5625
2017-03-02T17:32:26.798804: step 81, loss 1.39336, acc 0.53125
2017-03-02T17:32:26.870637: step 82, loss 2.17403, acc 0.5
2017-03-02T17:32:26.947450: step 83, loss 1.70624, acc 0.59375
2017-03-02T17:32:27.029973: step 84, loss 1.64432, acc 0.53125
2017-03-02T17:32:27.106858: step 85, loss 1.11103, acc 0.609375
2017-03-02T17:32:27.176844: step 86, loss 1.18049, acc 0.59375
2017-03-02T17:32:27.248645: step 87, loss 1.09025, acc 0.671875
2017-03-02T17:32:27.319349: step 88, loss 1.76041, acc 0.546875
2017-03-02T17:32:27.398886: step 89, loss 1.63511, acc 0.5
2017-03-02T17:32:27.474320: step 90, loss 1.62657, acc 0.59375
2017-03-02T17:32:27.551471: step 91, loss 1.54238, acc 0.609375
2017-03-02T17:32:27.622241: step 92, loss 1.84342, acc 0.515625
2017-03-02T17:32:27.705247: step 93, loss 2.09498, acc 0.453125
2017-03-02T17:32:27.779788: step 94, loss 1.26909, acc 0.59375
2017-03-02T17:32:27.861972: step 95, loss 1.7646, acc 0.53125
2017-03-02T17:32:27.928987: step 96, loss 1.54904, acc 0.5625
2017-03-02T17:32:27.998645: step 97, loss 1.54856, acc 0.546875
2017-03-02T17:32:28.080928: step 98, loss 1.40238, acc 0.546875
2017-03-02T17:32:28.154181: step 99, loss 1.67246, acc 0.46875
2017-03-02T17:32:28.228887: step 100, loss 1.81717, acc 0.484375

Evaluation:
2017-03-02T17:32:28.350130: step 100, loss 0.929548, acc 0.643836

Saved model checkpoint to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488504630/checkpoints/model-100

2017-03-02T17:32:28.782906: step 101, loss 1.51549, acc 0.453125
2017-03-02T17:32:28.861535: step 102, loss 1.92516, acc 0.46875
2017-03-02T17:32:28.922657: step 103, loss 1.53862, acc 0.5
2017-03-02T17:32:28.998622: step 104, loss 1.36752, acc 0.453125
2017-03-02T17:32:29.070707: step 105, loss 1.84448, acc 0.46875
2017-03-02T17:32:29.138853: step 106, loss 1.61695, acc 0.609375
2017-03-02T17:32:29.211730: step 107, loss 1.33543, acc 0.5625
2017-03-02T17:32:29.295839: step 108, loss 1.48638, acc 0.625
2017-03-02T17:32:29.363048: step 109, loss 1.51086, acc 0.546875
2017-03-02T17:32:29.430262: step 110, loss 1.68742, acc 0.515625
2017-03-02T17:32:29.503069: step 111, loss 2.03628, acc 0.421875
2017-03-02T17:32:29.572937: step 112, loss 1.59839, acc 0.515625
2017-03-02T17:32:29.637466: step 113, loss 1.28128, acc 0.46875
2017-03-02T17:32:29.706280: step 114, loss 1.71904, acc 0.4375
2017-03-02T17:32:29.791997: step 115, loss 1.65827, acc 0.484375
2017-03-02T17:32:29.861951: step 116, loss 1.2506, acc 0.453125
2017-03-02T17:32:29.932240: step 117, loss 1.56544, acc 0.546875
2017-03-02T17:32:30.003138: step 118, loss 1.68131, acc 0.515625
2017-03-02T17:32:30.071796: step 119, loss 1.595, acc 0.625
2017-03-02T17:32:30.141516: step 120, loss 1.0197, acc 0.671875
2017-03-02T17:32:30.212454: step 121, loss 1.41383, acc 0.53125
2017-03-02T17:32:30.276369: step 122, loss 1.3063, acc 0.53125
2017-03-02T17:32:30.344395: step 123, loss 1.1812, acc 0.640625
2017-03-02T17:32:30.408794: step 124, loss 1.35044, acc 0.625
2017-03-02T17:32:30.482489: step 125, loss 1.48844, acc 0.53125
2017-03-02T17:32:30.560773: step 126, loss 1.50001, acc 0.546875
2017-03-02T17:32:30.634072: step 127, loss 1.10353, acc 0.671875
2017-03-02T17:32:30.704603: step 128, loss 1.52028, acc 0.5
2017-03-02T17:32:30.775850: step 129, loss 1.68512, acc 0.53125
2017-03-02T17:32:30.844845: step 130, loss 1.23759, acc 0.5625
2017-03-02T17:32:30.916839: step 131, loss 1.38275, acc 0.609375
2017-03-02T17:32:30.990148: step 132, loss 1.07073, acc 0.59375
2017-03-02T17:32:31.061739: step 133, loss 1.42755, acc 0.53125
2017-03-02T17:32:31.132604: step 134, loss 1.18885, acc 0.578125
2017-03-02T17:32:31.211955: step 135, loss 1.30676, acc 0.609375
2017-03-02T17:32:31.283967: step 136, loss 1.861, acc 0.484375
2017-03-02T17:32:31.363061: step 137, loss 1.64286, acc 0.53125
2017-03-02T17:32:31.430656: step 138, loss 1.36024, acc 0.59375
2017-03-02T17:32:31.504079: step 139, loss 1.13123, acc 0.625
2017-03-02T17:32:31.579409: step 140, loss 1.23991, acc 0.59375
2017-03-02T17:32:31.650287: step 141, loss 1.49952, acc 0.546875
2017-03-02T17:32:31.722756: step 142, loss 1.22165, acc 0.609375
2017-03-02T17:32:31.789230: step 143, loss 1.53506, acc 0.515625
2017-03-02T17:32:31.854368: step 144, loss 1.26573, acc 0.53125
2017-03-02T17:32:31.924739: step 145, loss 1.26712, acc 0.609375
2017-03-02T17:32:31.997294: step 146, loss 1.25666, acc 0.53125
2017-03-02T17:32:32.073424: step 147, loss 1.25786, acc 0.609375
2017-03-02T17:32:32.146562: step 148, loss 1.41794, acc 0.609375
2017-03-02T17:32:32.215651: step 149, loss 1.44268, acc 0.625
2017-03-02T17:32:32.287820: step 150, loss 1.51008, acc 0.546875
2017-03-02T17:32:32.365663: step 151, loss 1.6218, acc 0.5625
2017-03-02T17:32:32.441643: step 152, loss 1.19447, acc 0.671875
2017-03-02T17:32:32.526662: step 153, loss 1.55138, acc 0.671875
2017-03-02T17:32:32.596767: step 154, loss 1.49955, acc 0.578125
2017-03-02T17:32:32.667929: step 155, loss 1.21779, acc 0.53125
2017-03-02T17:32:32.752718: step 156, loss 1.48051, acc 0.5625
2017-03-02T17:32:32.822525: step 157, loss 1.08557, acc 0.59375
2017-03-02T17:32:32.895228: step 158, loss 1.33063, acc 0.5625
2017-03-02T17:32:32.972546: step 159, loss 1.31238, acc 0.578125
2017-03-02T17:32:33.043516: step 160, loss 1.75618, acc 0.46875
2017-03-02T17:32:33.114923: step 161, loss 1.53118, acc 0.53125
2017-03-02T17:32:33.188862: step 162, loss 1.33805, acc 0.59375
2017-03-02T17:32:33.260064: step 163, loss 1.23632, acc 0.53125
2017-03-02T17:32:33.332366: step 164, loss 1.22361, acc 0.625
2017-03-02T17:32:33.410529: step 165, loss 1.36875, acc 0.546875
2017-03-02T17:32:33.485782: step 166, loss 1.45608, acc 0.515625
2017-03-02T17:32:33.558098: step 167, loss 0.940775, acc 0.6875
2017-03-02T17:32:33.634553: step 168, loss 1.51827, acc 0.5
2017-03-02T17:32:33.715287: step 169, loss 0.96214, acc 0.65625
2017-03-02T17:32:33.787102: step 170, loss 1.65574, acc 0.453125
2017-03-02T17:32:33.863493: step 171, loss 1.33681, acc 0.640625
2017-03-02T17:32:33.938002: step 172, loss 1.41575, acc 0.53125
2017-03-02T17:32:34.011147: step 173, loss 1.29472, acc 0.671875
2017-03-02T17:32:34.085248: step 174, loss 0.996822, acc 0.59375
2017-03-02T17:32:34.163926: step 175, loss 1.26339, acc 0.546875
2017-03-02T17:32:34.236079: step 176, loss 1.38755, acc 0.578125
2017-03-02T17:32:34.303905: step 177, loss 1.49703, acc 0.515625
2017-03-02T17:32:34.362967: step 178, loss 1.63388, acc 0.515625
2017-03-02T17:32:34.442579: step 179, loss 1.18095, acc 0.578125
2017-03-02T17:32:34.521179: step 180, loss 1.56004, acc 0.484375
2017-03-02T17:32:34.590778: step 181, loss 1.51926, acc 0.625
2017-03-02T17:32:34.664561: step 182, loss 1.34237, acc 0.484375
2017-03-02T17:32:34.724782: step 183, loss 1.41492, acc 0.5
2017-03-02T17:32:34.794594: step 184, loss 1.59719, acc 0.515625
2017-03-02T17:32:34.872556: step 185, loss 1.67215, acc 0.5
2017-03-02T17:32:34.941868: step 186, loss 1.25688, acc 0.578125
2017-03-02T17:32:35.011189: step 187, loss 1.0554, acc 0.609375
2017-03-02T17:32:35.083379: step 188, loss 1.16343, acc 0.578125
2017-03-02T17:32:35.159571: step 189, loss 1.55429, acc 0.5
2017-03-02T17:32:35.234295: step 190, loss 0.96114, acc 0.640625
2017-03-02T17:32:35.308479: step 191, loss 1.26966, acc 0.53125
2017-03-02T17:32:35.379040: step 192, loss 1.47583, acc 0.59375
2017-03-02T17:32:35.452572: step 193, loss 1.91071, acc 0.34375
2017-03-02T17:32:35.520892: step 194, loss 1.39642, acc 0.46875
2017-03-02T17:32:35.591297: step 195, loss 1.2594, acc 0.546875
2017-03-02T17:32:36.096791: step 196, loss 1.4082, acc 0.5
2017-03-02T17:32:36.170817: step 197, loss 1.67313, acc 0.453125
2017-03-02T17:32:36.255600: step 198, loss 0.978346, acc 0.59375
2017-03-02T17:32:36.324061: step 199, loss 1.2994, acc 0.546875
2017-03-02T17:32:36.400805: step 200, loss 1.40056, acc 0.5

Evaluation:
2017-03-02T17:32:36.426380: step 200, loss 0.895134, acc 0.599135

Saved model checkpoint to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488504630/checkpoints/model-200

2017-03-02T17:32:36.894863: step 201, loss 1.23059, acc 0.5625
2017-03-02T17:32:36.963763: step 202, loss 1.23377, acc 0.578125
2017-03-02T17:32:37.039754: step 203, loss 0.997645, acc 0.59375
2017-03-02T17:32:37.108547: step 204, loss 1.15025, acc 0.578125
2017-03-02T17:32:37.203932: step 205, loss 1.13396, acc 0.625
2017-03-02T17:32:37.274009: step 206, loss 1.10582, acc 0.65625
2017-03-02T17:32:37.354313: step 207, loss 0.89613, acc 0.671875
2017-03-02T17:32:37.430921: step 208, loss 1.15167, acc 0.671875
2017-03-02T17:32:37.505130: step 209, loss 1.11847, acc 0.671875
2017-03-02T17:32:37.576314: step 210, loss 0.988222, acc 0.609375
2017-03-02T17:32:37.646914: step 211, loss 1.14119, acc 0.5625
2017-03-02T17:32:37.740408: step 212, loss 0.97742, acc 0.625
2017-03-02T17:32:37.818515: step 213, loss 0.895929, acc 0.640625
2017-03-02T17:32:37.882839: step 214, loss 1.19417, acc 0.53125
2017-03-02T17:32:37.951522: step 215, loss 0.914967, acc 0.671875
2017-03-02T17:32:38.024227: step 216, loss 1.22737, acc 0.5625
2017-03-02T17:32:38.126422: step 217, loss 0.99721, acc 0.703125
2017-03-02T17:32:38.203042: step 218, loss 1.22251, acc 0.625
2017-03-02T17:32:38.272999: step 219, loss 1.0046, acc 0.671875
2017-03-02T17:32:38.348739: step 220, loss 1.33434, acc 0.515625
2017-03-02T17:32:38.425840: step 221, loss 1.56255, acc 0.484375
2017-03-02T17:32:38.490221: step 222, loss 0.976152, acc 0.6875
2017-03-02T17:32:38.559689: step 223, loss 1.40265, acc 0.5
2017-03-02T17:32:38.654848: step 224, loss 1.03574, acc 0.59375
2017-03-02T17:32:38.726704: step 225, loss 0.910273, acc 0.703125
2017-03-02T17:32:38.801358: step 226, loss 1.55009, acc 0.5625
2017-03-02T17:32:38.872658: step 227, loss 1.10888, acc 0.5625
2017-03-02T17:32:38.948252: step 228, loss 1.2157, acc 0.5625
2017-03-02T17:32:39.018751: step 229, loss 1.06154, acc 0.578125
2017-03-02T17:32:39.095044: step 230, loss 1.10084, acc 0.625
2017-03-02T17:32:39.165461: step 231, loss 1.13034, acc 0.546875
2017-03-02T17:32:39.231801: step 232, loss 1.14404, acc 0.609375
2017-03-02T17:32:39.302633: step 233, loss 1.12328, acc 0.640625
2017-03-02T17:32:39.389444: step 234, loss 1.14282, acc 0.59375
2017-03-02T17:32:39.463015: step 235, loss 1.30992, acc 0.546875
2017-03-02T17:32:39.555479: step 236, loss 1.3445, acc 0.609375
2017-03-02T17:32:39.624648: step 237, loss 0.793987, acc 0.71875
2017-03-02T17:32:39.698032: step 238, loss 1.01142, acc 0.5625
2017-03-02T17:32:39.769789: step 239, loss 0.689892, acc 0.75
2017-03-02T17:32:39.828667: step 240, loss 0.919846, acc 0.671875
2017-03-02T17:32:39.895883: step 241, loss 1.21768, acc 0.625
2017-03-02T17:32:39.963884: step 242, loss 0.745848, acc 0.703125
2017-03-02T17:32:40.047663: step 243, loss 1.05381, acc 0.65625
2017-03-02T17:32:40.129673: step 244, loss 1.03373, acc 0.59375
2017-03-02T17:32:40.201631: step 245, loss 0.896465, acc 0.65625
2017-03-02T17:32:40.278678: step 246, loss 1.06146, acc 0.640625
2017-03-02T17:32:40.349917: step 247, loss 1.34324, acc 0.53125
2017-03-02T17:32:40.423607: step 248, loss 1.40591, acc 0.546875
2017-03-02T17:32:40.497988: step 249, loss 1.21039, acc 0.609375
2017-03-02T17:32:40.563986: step 250, loss 0.898446, acc 0.65625
2017-03-02T17:32:40.635600: step 251, loss 0.960173, acc 0.625
2017-03-02T17:32:40.710486: step 252, loss 1.15892, acc 0.59375
2017-03-02T17:32:40.781402: step 253, loss 1.21868, acc 0.453125
2017-03-02T17:32:40.855133: step 254, loss 1.12651, acc 0.59375
2017-03-02T17:32:40.926725: step 255, loss 1.27927, acc 0.484375
2017-03-02T17:32:40.993660: step 256, loss 1.44276, acc 0.453125
2017-03-02T17:32:41.065817: step 257, loss 1.01053, acc 0.578125
2017-03-02T17:32:41.139709: step 258, loss 1.13969, acc 0.5625
2017-03-02T17:32:41.215946: step 259, loss 1.10723, acc 0.59375
2017-03-02T17:32:41.285648: step 260, loss 1.35783, acc 0.515625
2017-03-02T17:32:41.357112: step 261, loss 0.948453, acc 0.65625
2017-03-02T17:32:41.430376: step 262, loss 0.77316, acc 0.65625
2017-03-02T17:32:41.509204: step 263, loss 1.00068, acc 0.609375
2017-03-02T17:32:41.583559: step 264, loss 0.897924, acc 0.71875
2017-03-02T17:32:41.660232: step 265, loss 1.30826, acc 0.578125
2017-03-02T17:32:41.744492: step 266, loss 1.17199, acc 0.5625
2017-03-02T17:32:41.810638: step 267, loss 1.16664, acc 0.5625
2017-03-02T17:32:41.884942: step 268, loss 1.14978, acc 0.609375
2017-03-02T17:32:41.959213: step 269, loss 1.16513, acc 0.515625
2017-03-02T17:32:42.028470: step 270, loss 0.836704, acc 0.703125
2017-03-02T17:32:42.099222: step 271, loss 0.786203, acc 0.734375
2017-03-02T17:32:42.182143: step 272, loss 1.00251, acc 0.640625
2017-03-02T17:32:42.257264: step 273, loss 1.18691, acc 0.578125
2017-03-02T17:32:42.334853: step 274, loss 0.955623, acc 0.6875
2017-03-02T17:32:42.404458: step 275, loss 1.1856, acc 0.546875
2017-03-02T17:32:42.473098: step 276, loss 0.929375, acc 0.59375
2017-03-02T17:32:42.552427: step 277, loss 0.825348, acc 0.65625
2017-03-02T17:32:42.617458: step 278, loss 1.14474, acc 0.5625
2017-03-02T17:32:42.686518: step 279, loss 1.08948, acc 0.546875
2017-03-02T17:32:42.758666: step 280, loss 1.0526, acc 0.578125
2017-03-02T17:32:42.833077: step 281, loss 0.744885, acc 0.609375
2017-03-02T17:32:42.905828: step 282, loss 0.839068, acc 0.671875
2017-03-02T17:32:42.978667: step 283, loss 1.33715, acc 0.578125
2017-03-02T17:32:43.050166: step 284, loss 0.858306, acc 0.6875
2017-03-02T17:32:43.125372: step 285, loss 1.10538, acc 0.53125
2017-03-02T17:32:43.194046: step 286, loss 0.98994, acc 0.671875
2017-03-02T17:32:43.267661: step 287, loss 1.05044, acc 0.609375
2017-03-02T17:32:43.332558: step 288, loss 0.810544, acc 0.765625
2017-03-02T17:32:43.397291: step 289, loss 0.942231, acc 0.640625
2017-03-02T17:32:43.469298: step 290, loss 1.3346, acc 0.59375
2017-03-02T17:32:43.543570: step 291, loss 1.16014, acc 0.546875
2017-03-02T17:32:43.614717: step 292, loss 0.889168, acc 0.640625
2017-03-02T17:32:43.688565: step 293, loss 1.30869, acc 0.453125
2017-03-02T17:32:43.763646: step 294, loss 1.41695, acc 0.390625
2017-03-02T17:32:43.831995: step 295, loss 0.775681, acc 0.65625
2017-03-02T17:32:43.908206: step 296, loss 0.945556, acc 0.703125
2017-03-02T17:32:43.989907: step 297, loss 1.16828, acc 0.640625
2017-03-02T17:32:44.069212: step 298, loss 1.17843, acc 0.609375
2017-03-02T17:32:44.142947: step 299, loss 0.735173, acc 0.6875
2017-03-02T17:32:44.223467: step 300, loss 0.937432, acc 0.59375

Evaluation:
2017-03-02T17:32:44.257817: step 300, loss 0.928301, acc 0.651766

Saved model checkpoint to /atlas/u/jdunnmon/tutorial/cnn-text-classification-tf/runs/1488504630/checkpoints/model-300

2017-03-02T17:32:44.685272: step 301, loss 1.07847, acc 0.640625
2017-03-02T17:32:44.753872: step 302, loss 0.784615, acc 0.640625
2017-03-02T17:32:44.827502: step 303, loss 0.961786, acc 0.671875
2017-03-02T17:32:44.904560: step 304, loss 0.98357, acc 0.578125
2017-03-02T17:32:44.974937: step 305, loss 0.887805, acc 0.640625
2017-03-02T17:32:45.051543: step 306, loss 1.05495, acc 0.640625
2017-03-02T17:32:45.124856: step 307, loss 1.13629, acc 0.625
2017-03-02T17:32:45.193815: step 308, loss 0.866791, acc 0.671875
2017-03-02T17:32:45.268339: step 309, loss 0.991637, acc 0.609375
2017-03-02T17:32:45.337692: step 310, loss 0.900076, acc 0.65625
2017-03-02T17:32:45.406500: step 311, loss 0.954429, acc 0.5625
2017-03-02T17:32:45.472167: step 312, loss 1.04902, acc 0.640625
2017-03-02T17:32:45.557231: step 313, loss 1.00246, acc 0.65625
2017-03-02T17:32:45.627387: step 314, loss 1.00478, acc 0.59375
2017-03-02T17:32:45.706240: step 315, loss 1.06269, acc 0.53125
2017-03-02T17:32:45.775647: step 316, loss 0.898479, acc 0.703125
2017-03-02T17:32:45.846603: step 317, loss 0.838679, acc 0.640625
2017-03-02T17:32:45.932083: step 318, loss 1.17732, acc 0.546875
2017-03-02T17:32:46.001897: step 319, loss 1.17513, acc 0.59375
2017-03-02T17:32:46.077415: step 320, loss 1.09355, acc 0.59375
2017-03-02T17:32:46.146972: step 321, loss 1.04541, acc 0.609375
2017-03-02T17:32:46.226431: step 322, loss 1.20188, acc 0.578125
2017-03-02T17:32:46.299619: step 323, loss 1.14309, acc 0.578125
2017-03-02T17:32:46.376882: step 324, loss 1.01813, acc 0.578125
2017-03-02T17:32:46.447645: step 325, loss 0.999661, acc 0.578125
2017-03-02T17:32:46.521083: step 326, loss 1.10369, acc 0.578125
2017-03-02T17:32:46.590483: step 327, loss 0.78644, acc 0.671875
2017-03-02T17:32:46.663220: step 328, loss 1.09277, acc 0.640625
2017-03-02T17:32:46.752865: step 329, loss 1.03511, acc 0.65625
2017-03-02T17:32:46.824960: step 330, loss 0.824764, acc 0.734375
2017-03-02T17:32:46.901489: step 331, loss 1.30602, acc 0.625
2017-03-02T17:32:46.971143: step 332, loss 0.813401, acc 0.6875
2017-03-02T17:32:47.045063: step 333, loss 1.00415, acc 0.71875
2017-03-02T17:32:47.118530: step 334, loss 1.00027, acc 0.640625
2017-03-02T17:32:47.193354: step 335, loss 0.915117, acc 0.625
2017-03-02T17:32:47.273470: step 336, loss 1.155, acc 0.515625
2017-03-02T17:32:47.353274: step 337, loss 1.35356, acc 0.390625
2017-03-02T17:32:47.419460: step 338, loss 0.958454, acc 0.5625
2017-03-02T17:32:47.513141: step 339, loss 0.985428, acc 0.578125
2017-03-02T17:32:47.583877: step 340, loss 1.04903, acc 0.5
2017-03-02T17:32:47.650291: step 341, loss 1.04543, acc 0.640625
2017-03-02T17:32:47.726939: step 342, loss 0.785292, acc 0.640625
2017-03-02T17:32:47.802874: step 343, loss 0.842198, acc 0.625
2017-03-02T17:32:47.874827: step 344, loss 1.05828, acc 0.59375
2017-03-02T17:32:47.940937: step 345, loss 1.26046, acc 0.546875
2017-03-02T17:32:48.015922: step 346, loss 0.840844, acc 0.671875
2017-03-02T17:32:48.099748: step 347, loss 0.856933, acc 0.703125
2017-03-02T17:32:48.176416: step 348, loss 1.01122, acc 0.609375
2017-03-02T17:32:48.249454: step 349, loss 0.918666, acc 0.625
2017-03-02T17:32:48.326806: step 350, loss 0.946194, acc 0.609375
2017-03-02T17:32:48.400667: step 351, loss 0.671862, acc 0.71875
2017-03-02T17:32:48.473295: step 352, loss 1.03039, acc 0.640625
2017-03-02T17:32:48.561972: step 353, loss 0.832949, acc 0.671875
2017-03-02T17:32:48.631267: step 354, loss 0.82089, acc 0.65625
2017-03-02T17:32:48.702872: step 355, loss 1.09569, acc 0.515625
2017-03-02T17:32:48.776086: step 356, loss 0.966104, acc 0.625
2017-03-02T17:32:48.846730: step 357, loss 0.892282, acc 0.625
2017-03-02T17:32:48.918884: step 358, loss 1.10133, acc 0.640625
